Month–Year,City,State/Region
March 2011,San Salvador,San Salvador
October 2014,Davis,Oklahoma
February 2016,San Francisco,California
May 2016,Grand Canyon Village,Arizona
May 2016,Las Vegas,Nevada
May 2016,Winchester,Nevada
January 2017,Adams County,Colorado
January 2017,Aurora,Colorado
January 2017,Grand County,Colorado
July 2017,Isabela,Puerto Rico
July 2017,San Juan,Puerto Rico
September 2017,Hot Springs,Arkansas
September 2017,Little Rock,Arkansas
September 2017,Washington,District of Columbia
November 2017,Mahahual,Quintana Roo
January 2018,Oklahoma City,Oklahoma
April 2018,DeKalb County,Georgia
April 2018,Destin,Florida
April 2018,Henry County,Georgia
April 2018,Opelika,Alabama
May 2018,Oklahoma City,Oklahoma
May 2018,Tulsa,Oklahoma
June 2018,Boston,Massachusetts
June 2018,Tisbury,Massachusetts
August 2018,Clallam County,Washington
August 2018,Corbett,Oregon
August 2018,Olympia,Washington
August 2018,Portland,Oregon
August 2018,Santa Cruz County,California
August 2018,Seattle,Washington
August 2018,Tillamook County,Oregon
September 2018,Philadelphia,Pennsylvania
September 2018,Taipei,—
September 2018,Tredyffrin Township,Pennsylvania
October 2018,Bonita Springs,Florida
October 2018,Fort Lauderdale,Florida
October 2018,Miami,Florida
October 2018,West Palm Beach,Florida
December 2018,Colorado Springs,Colorado
December 2018,Denver,Colorado
December 2018,Fountain,Colorado
December 2018,Grand County,Colorado
December 2018,Jefferson County,Colorado
December 2018,Union County,New Mexico
January 2019,Lexington,Kentucky
January 2019,Louisville,Kentucky
February 2019,Arequipa,Arequipa
February 2019,Boone County,Kentucky
February 2019,Cabanaconde,Arequipa
February 2019,Chivay,Arequipa
February 2019,Cuzco,Cusco
February 2019,La Perla,Callao
February 2019,Machupicchu,Cusco
February 2019,Maras,Cusco
February 2019,Ollantaytambo,Cusco
February 2019,Villa María del Triunfo,Lima
February 2019,Yanahuara,Arequipa
March 2019,Marple Township,Pennsylvania
May 2019,Newtown Township,Pennsylvania
July 2019,Baldwin County,Alabama
July 2019,Holmes County,Florida
July 2019,Mobile,Alabama
July 2019,Newtown Township,Pennsylvania
July 2019,Panama City Beach,Florida
July 2019,Ruston,Louisiana
July 2019,Vicksburg,Mississippi
August 2019,Tulsa,Oklahoma
September 2019,Easton,Pennsylvania
September 2019,Hamilton,Ontario
September 2019,Niagara Falls,Ontario
September 2019,Philadelphia,Pennsylvania
September 2019,Radnor Township,Pennsylvania
September 2019,Toronto,Ontario
October 2019,Chicago,Illinois
October 2019,Haverford Township,Pennsylvania
January 2020,Pasadena,California
January 2020,Radnor Township,Pennsylvania
February 2020,Ica,Ica
February 2020,Paracas,Ica
February 2020,Villa María del Triunfo,Lima
July 2020,Davis,Oklahoma
July 2020,Oklahoma City,Oklahoma
August 2020,McCurtain County,Oklahoma
November 2020,Escambia County,Florida
November 2020,Panama City Beach,Florida
November 2020,St. Tammany Parish,Louisiana
December 2020,Coconino County,Arizona
December 2020,Eddy County,New Mexico
December 2020,Garfield County,Utah
December 2020,Grand County,Utah
December 2020,Murray County,Oklahoma
December 2020,Oklahoma City,Oklahoma
December 2020,Otero County,New Mexico
December 2020,San Juan County,New Mexico
December 2020,"Town ""n"" Country",Florida
December 2020,Truth or Consequences,New Mexico
December 2020,Wayne County,Utah
March 2021,Clayton County,Georgia
March 2021,DeKalb County,Georgia
March 2021,Gwinnett County,Georgia
March 2021,Lookout Mountain,Tennessee
March 2021,Oklahoma City,Oklahoma
April 2021,Davis County,Utah
April 2021,Delta County,Colorado
April 2021,Honeyville,Utah
April 2021,Idaho Falls,Idaho
April 2021,McCurtain County,Oklahoma
April 2021,Park County,Wyoming
April 2021,Salt Lake City,Utah
April 2021,Teton County,Wyoming
May 2021,McCurtain County,Oklahoma
June 2021,Garfield County,Colorado
June 2021,Glenwood Springs,Colorado
June 2021,Magee,Mississippi
June 2021,Minden,Louisiana
June 2021,Mobile,Alabama
June 2021,Panama City Beach,Florida
June 2021,Pitkin County,Colorado
June 2021,Walton County,Florida
July 2021,Anchorage,Alaska
July 2021,Kenai Peninsula Borough,Alaska
August 2021,Anchorage,Alaska
August 2021,Denali Borough,Alaska
August 2021,Fairbanks,Alaska
August 2021,Fairbanks North Star Borough,Alaska
September 2021,Delta County,Colorado
October 2021,Delta County,Colorado
October 2021,Denver,Colorado
October 2021,Durango,Colorado
October 2021,Fremont County,Colorado
October 2021,Grand Junction,Colorado
October 2021,Gunnison County,Colorado
October 2021,Montezuma County,Colorado
October 2021,Montrose County,Colorado
October 2021,Ouray County,Colorado
October 2021,Parroquia Pacayacu,Sucumbíos
October 2021,Reykjavik,—
October 2021,Saguache County,Colorado
October 2021,Telluride,Colorado
November 2021,Reykjavik,—
January 2022,Orange County,Florida
February 2022,Dubai,Dubai Emirate
February 2022,Dubai Emirate,—
March 2022,Colorado Springs,Colorado
April 2022,Murray County,Oklahoma
April 2022,Ouray,Colorado
April 2022,Pearl City,Hawaii
May 2022,Colorado Springs,Colorado
May 2022,San Diego,California
June 2022,Delta County,Colorado
June 2022,Denver,Colorado
June 2022,Grand Junction,Colorado
June 2022,Mesa County,Colorado
June 2022,Ouray,Colorado
June 2022,Ouray County,Colorado
July 2022,Chalpi,Napo
July 2022,Denver,Colorado
July 2022,Garfield County,Colorado
July 2022,Mesa County,Colorado
July 2022,Shushufindi,Sucumbíos
August 2022,Coca,Orellana
August 2022,Quito,Pichincha
August 2022,San Antonio,Pichincha
August 2022,Santo Domingo de los Tsachilas,Santo Domingo de los Tsáchilas
October 2022,Largo,Florida
October 2022,Orange County,Florida
October 2022,Orient Park,Florida
May 2023,Clayton County,Georgia
May 2023,Gwinnett County,Georgia
May 2023,Henry County,Georgia
May 2023,Hilton Head Island,South Carolina
May 2023,Pooler,Georgia
May 2023,Stephens County,Georgia
October 2023,Mahahual,Quintana Roo
October 2023,San Miguel de Cozumel,Quintana Roo
February 2024,Lady Lake,Florida
February 2024,Orlando,Florida
February 2024,Tampa,Florida
May 2024,McDonough,Georgia
May 2024,Oconee County,South Carolina
May 2024,Tucker,Georgia
July 2024,Daly City,California
July 2024,Dos Palos Y,California
July 2024,Fresno,California
July 2024,Mariposa County,California
July 2024,Monterey,California
July 2024,San Francisco,California
July 2024,San Jose,California
July 2024,South San Francisco,California
July 2024,Tulare County,California
August 2024,Nuevo Laredo,Tamaulipas
September 2024,Washington,District of Columbia
February 2025,Phoenix,Arizona
February 2025,Sedona,Arizona
March 2025,Apache County,Arizona
March 2025,Gainesville,Georgia
March 2025,Lawrenceville,Georgia
March 2025,Maricopa County,Arizona
March 2025,North Druid Hills,Georgia
March 2025,Oconee County,South Carolina
March 2025,Payson,Arizona
March 2025,Scottsdale,Arizona
March 2025,Stephens County,Georgia
March 2025,Tucson,Arizona
May 2025,Nuevo Laredo,Tamaulipas
June 2025,Branson,Missouri
June 2025,Carroll County,Arkansas
July 2025,Adams County,Colorado
July 2025,Colorado Springs,Colorado
July 2025,Denver,Colorado
July 2025,Pitkin County,Colorado
August 2025,Nuevo Laredo,Tamaulipas
August 2025,San Andrés Itzapa,Chimaltenango
September 2025,Conshohocken,Pennsylvania
September 2025,Lower Merion Township,Pennsylvania
October 2025,Cancún,Quintana Roo
February 2026,Lurín,Lima
February 2026,Nuevo Imperial,Lima
February 2026,Paracas,Ica
February 2026,Quilmaná,Lima
February 2026,Villa María del Triunfo,Lima
March 2026,Nuevo Laredo,Tamaulipas
April 2026,Broken Bow,Oklahoma
May 2026,Nuevo Laredo,Tamaulipas
June 2026,Davis,Oklahoma
June 2026,Oklahoma City,Oklahoma
July 2026,Bellevue,Washington
July 2026,Clatsop County,Oregon
July 2026,Ibaraki,—
July 2026,Koto,—
July 2026,Multnomah County,Oregon
July 2026,Pierce County,Washington
July 2026,Skagit County,Washington
July 2026,Tillamook County,Oregon
July 2026,Vancouver,Washington
July 2026,Vashon,Washington
July 2026,Whatcom County,Washington
August 2026,SeaTac,Washington
August 2026,Seoul,—
