Year,Month,Date,City,County_State,Country,Latitude,Longitude,Notes
2011,March,,San Salvador,San Salvador,El Salvador,0,0,
2014,October,,Davis,Oklahoma,United States,0,0,
2016,February,,San Francisco,California,United States,0,0,
2016,May,,Grand Canyon Village,Arizona,United States,0,0,
2016,May,,Las Vegas,Nevada,United States,0,0,
2016,May,,Winchester,Nevada,United States,0,0,
2017,January,,Adams County,Colorado,United States,0,0,
2017,January,,Aurora,Colorado,United States,0,0,
2017,January,,Grand County,Colorado,United States,0,0,
2017,July,,Isabela,Puerto Rico,United States,0,0,
2017,July,,San Juan,Puerto Rico,United States,0,0,
2017,September,,Hot Springs,Arkansas,United States,0,0,
2017,September,,Little Rock,Arkansas,United States,0,0,
2017,September,,Washington,District of Columbia,United States,0,0,
2017,November,,Mahahual,Quintana Roo,Mexico,0,0,
2018,January,,Oklahoma City,Oklahoma,United States,0,0,
2018,April,,DeKalb County,Georgia,United States,0,0,
2018,April,,Destin,Florida,United States,0,0,
2018,April,,Henry County,Georgia,United States,0,0,
2018,April,,Opelika,Alabama,United States,0,0,
2018,May,,Oklahoma City,Oklahoma,United States,0,0,
2018,May,,Tulsa,Oklahoma,United States,0,0,
2018,June,,Boston,Massachusetts,United States,0,0,
2018,June,,Tisbury,Massachusetts,United States,0,0,
2018,August,,Clallam County,Washington,United States,0,0,
2018,August,,Corbett,Oregon,United States,0,0,
2018,August,,Olympia,Washington,United States,0,0,
2018,August,,Portland,Oregon,United States,0,0,
2018,August,,Santa Cruz County,California,United States,0,0,
2018,August,,Seattle,Washington,United States,0,0,
2018,August,,Tillamook County,Oregon,United States,0,0,
2018,September,,Philadelphia,Pennsylvania,United States,0,0,
2018,September,,Taipei,Taiwan,Taiwan,0,0,
2018,September,,Tredyffrin Township,Pennsylvania,United States,0,0,
2018,October,,Bonita Springs,Florida,United States,0,0,
2018,October,,Fort Lauderdale,Florida,United States,0,0,
2018,October,,Miami,Florida,United States,0,0,
2018,October,,West Palm Beach,Florida,United States,0,0,
2018,December,,Colorado Springs,Colorado,United States,0,0,
2018,December,,Denver,Colorado,United States,0,0,
2018,December,,Fountain,Colorado,United States,0,0,
2018,December,,Grand County,Colorado,United States,0,0,
2018,December,,Jefferson County,Colorado,United States,0,0,
2018,December,,Union County,New Mexico,United States,0,0,
2019,January,,Lexington,Kentucky,United States,0,0,
2019,January,,Louisville,Kentucky,United States,0,0,
2019,February,,Arequipa,Arequipa,Peru,0,0,
2019,February,,Boone County,Kentucky,United States,0,0,
2019,February,,Cabanaconde,Arequipa,Peru,0,0,
2019,February,,Chivay,Arequipa,Peru,0,0,
2019,February,,Cuzco,Cusco,Peru,0,0,
2019,February,,La Perla,Callao,Peru,0,0,
2019,February,,Machupicchu,Cusco,Peru,0,0,
2019,February,,Maras,Cusco,Peru,0,0,
2019,February,,Ollantaytambo,Cusco,Peru,0,0,
2019,February,,Villa María del Triunfo,Lima,Peru,0,0,
2019,February,,Yanahuara,Arequipa,Peru,0,0,
2019,March,,Marple Township,Pennsylvania,United States,0,0,
2019,May,,Newtown Township,Pennsylvania,United States,0,0,
2019,July,,Baldwin County,Alabama,United States,0,0,
2019,July,,Holmes County,Florida,United States,0,0,
2019,July,,Mobile,Alabama,United States,0,0,
2019,July,,Newtown Township,Pennsylvania,United States,0,0,
2019,July,,Panama City Beach,Florida,United States,0,0,
2019,July,,Ruston,Louisiana,United States,0,0,
2019,July,,Vicksburg,Mississippi,United States,0,0,
2019,August,,Tulsa,Oklahoma,United States,0,0,
2019,September,,Easton,Pennsylvania,United States,0,0,
2019,September,,Hamilton,Ontario,Canada,0,0,
2019,September,,Niagara Falls,Ontario,Canada,0,0,
2019,September,,Philadelphia,Pennsylvania,United States,0,0,
2019,September,,Radnor Township,Pennsylvania,United States,0,0,
2019,September,,Toronto,Ontario,Canada,0,0,
2019,October,,Chicago,Illinois,United States,0,0,
2019,October,,Haverford Township,Pennsylvania,United States,0,0,
2020,January,,Pasadena,California,United States,0,0,
2020,January,,Radnor Township,Pennsylvania,United States,0,0,
2020,February,,Ica,Ica,Peru,0,0,
2020,February,,Paracas,Ica,Peru,0,0,
2020,February,,Villa María del Triunfo,Lima,Peru,0,0,
2020,July,,Davis,Oklahoma,United States,0,0,
2020,July,,Oklahoma City,Oklahoma,United States,0,0,
2020,August,,McCurtain County,Oklahoma,United States,0,0,
2020,November,,Escambia County,Florida,United States,0,0,
2020,November,,Panama City Beach,Florida,United States,0,0,
2020,November,,St. Tammany Parish,Louisiana,United States,0,0,
2020,December,,Coconino County,Arizona,United States,0,0,
2020,December,,Eddy County,New Mexico,United States,0,0,
2020,December,,Garfield County,Utah,United States,0,0,
2020,December,,Grand County,Utah,United States,0,0,
2020,December,,Murray County,Oklahoma,United States,0,0,
2020,December,,Oklahoma City,Oklahoma,United States,0,0,
2020,December,,Otero County,New Mexico,United States,0,0,
2020,December,,San Juan County,New Mexico,United States,0,0,
2020,December,,"Town ""n"" Country",Florida,United States,0,0,
2020,December,,Truth or Consequences,New Mexico,United States,0,0,
2020,December,,Wayne County,Utah,United States,0,0,
2021,March,,Clayton County,Georgia,United States,0,0,
2021,March,,DeKalb County,Georgia,United States,0,0,
2021,March,,Gwinnett County,Georgia,United States,0,0,
2021,March,,Lookout Mountain,Tennessee,United States,0,0,
2021,March,,Oklahoma City,Oklahoma,United States,0,0,
2021,April,,Davis County,Utah,United States,0,0,
2021,April,,Delta County,Colorado,United States,0,0,
2021,April,,Honeyville,Utah,United States,0,0,
2021,April,,Idaho Falls,Idaho,United States,0,0,
2021,April,,McCurtain County,Oklahoma,United States,0,0,
2021,April,,Park County,Wyoming,United States,0,0,
2021,April,,Salt Lake City,Utah,United States,0,0,
2021,April,,Teton County,Wyoming,United States,0,0,
2021,May,,McCurtain County,Oklahoma,United States,0,0,
2021,June,,Garfield County,Colorado,United States,0,0,
2021,June,,Glenwood Springs,Colorado,United States,0,0,
2021,June,,Magee,Mississippi,United States,0,0,
2021,June,,Minden,Louisiana,United States,0,0,
2021,June,,Mobile,Alabama,United States,0,0,
2021,June,,Panama City Beach,Florida,United States,0,0,
2021,June,,Pitkin County,Colorado,United States,0,0,
2021,June,,Walton County,Florida,United States,0,0,
2021,July,,Anchorage,Alaska,United States,0,0,
2021,July,,Kenai Peninsula Borough,Alaska,United States,0,0,
2021,August,,Anchorage,Alaska,United States,0,0,
2021,August,,Denali Borough,Alaska,United States,0,0,
2021,August,,Fairbanks,Alaska,United States,0,0,
2021,August,,Fairbanks North Star Borough,Alaska,United States,0,0,
2021,September,,Delta County,Colorado,United States,0,0,
2021,October,,Delta County,Colorado,United States,0,0,
2021,October,,Denver,Colorado,United States,0,0,
2021,October,,Durango,Colorado,United States,0,0,
2021,October,,Fremont County,Colorado,United States,0,0,
2021,October,,Grand Junction,Colorado,United States,0,0,
2021,October,,Gunnison County,Colorado,United States,0,0,
2021,October,,Montezuma County,Colorado,United States,0,0,
2021,October,,Montrose County,Colorado,United States,0,0,
2021,October,,Ouray County,Colorado,United States,0,0,
2021,October,,Parroquia Pacayacu,Sucumbíos,Ecuador,0,0,
2021,October,,Reykjavik,Iceland,Iceland,0,0,
2021,October,,Saguache County,Colorado,United States,0,0,
2021,October,,Telluride,Colorado,United States,0,0,
2021,November,,Reykjavik,Iceland,Iceland,0,0,
2022,January,,Orange County,Florida,United States,0,0,
2022,February,,Dubai,Dubai Emirate,United Arab Emirates,0,0,
2022,February,,Dubai Emirate,Dubai Emirate,United Arab Emirates,0,0,
2022,March,,Colorado Springs,Colorado,United States,0,0,
2022,April,,Murray County,Oklahoma,United States,0,0,
2022,April,,Ouray,Colorado,United States,0,0,
2022,April,,Pearl City,Hawaii,United States,0,0,
2022,May,,Colorado Springs,Colorado,United States,0,0,
2022,May,,San Diego,California,United States,0,0,
2022,June,,Delta County,Colorado,United States,0,0,
2022,June,,Denver,Colorado,United States,0,0,
2022,June,,Grand Junction,Colorado,United States,0,0,
2022,June,,Mesa County,Colorado,United States,0,0,
