Year,Month,Date,City,County_State,Country,Latitude,Longitude,Notes
2014,October,2014-10-26,Davis,Oklahoma,United States,34.42495,-97.15805,
2016,February,2016-02-24,San Francisco,California,United States,37.74272,-122.37147,
2016,May,2016-05-18,Las Vegas,Nevada,United States,36.11285,-115.13904,
2016,May,2016-05-19,Grand Canyon Village,Arizona,United States,36.05869,-112.14495,
2016,May,2016-05-19,Winchester,Nevada,United States,36.1401,-115.13602,
2017,January,2017-01-19,Adams County,Colorado,United States,39.81067,-104.81257,
2017,January,2017-01-19,Grand County,Colorado,United States,39.9872,-105.92526,
2017,January,2017-01-21,Aurora,Colorado,United States,39.81131,-104.73553,
2017,July,2017-07-18,San Juan,Puerto Rico,United States,18.46038,-66.07639,
2017,July,2017-07-19,Isabela,Puerto Rico,United States,18.50627,-67.04955,
2017,July,2017-07-21,San Juan,Puerto Rico,United States,18.44054,-66.09778,
2017,September,2017-09-28,Washington,District of Columbia,United States,38.88789,-77.0132,
2017,September,2017-09-28,Hot Springs,Arkansas,United States,34.48176,-93.06362,
2017,September,2017-09-29,Little Rock,Arkansas,United States,34.74675,-92.26355,
2017,November,2017-11-27,Mahahual,Quintana Roo,Mexico,18.73138,-87.69386,
2018,January,2018-01-10,Oklahoma City,Oklahoma,United States,35.56602,-97.54604,
2018,April,2018-04-21,Henry County,Georgia,United States,33.58168,-84.2383,
2018,April,2018-04-25,Opelika,Alabama,United States,32.65051,-85.34829,
2018,April,2018-04-25,Destin,Florida,United States,30.38874,-86.46192,
2018,April,2018-04-28,DeKalb County,Georgia,United States,33.81004,-84.14533,
2018,May,2018-05-27,Tulsa,Oklahoma,United States,36.15816,-96.28024,
2018,May,2018-05-27,Oklahoma City,Oklahoma,United States,35.51189,-97.4973,
2018,June,2018-06-27,Boston,Massachusetts,United States,42.35982,-71.04849,
2018,June,2018-06-27,Boston,Massachusetts,United States,42.36188,-71.05538,
2018,June,2018-06-29,Tisbury,Massachusetts,United States,41.48959,-70.61582,
2018,August,2018-08-11,Seattle,Washington,United States,47.54617,-122.30632,
2018,August,2018-08-12,Clallam County,Washington,United States,48.04128,-123.59038,
2018,August,2018-08-13,Clallam County,Washington,United States,47.98579,-124.60243,
2018,August,2018-08-13,Olympia,Washington,United States,47.05019,-122.90398,
2018,August,2018-08-15,Corbett,Oregon,United States,45.54661,-122.25855,
2018,August,2018-08-16,Tillamook County,Oregon,United States,45.48406,-123.84425,
2018,August,2018-08-16,Portland,Oregon,United States,45.51861,-122.70572,
2018,August,2018-08-17,Santa Cruz County,California,United States,37.07061,-122.03622,
2018,September,2018-09-15,Taipei,Taiwan,Taiwan,25.03699,121.50009,
